sep=,
Type,FSVA3013,
Version,1.40,
Date,26.Mar 2023,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
1729500,50.97245025634765625,
1738500,51.524875640869140625,
1747500,51.85243988037109375,
1756500,48.526073455810546875,
1765500,50.558837890625,
1774500,51.685459136962890625,
1783500,48.774486541748046875,
1792500,49.607616424560546875,
1801500,49.349102020263671875,
1810500,48.184185028076171875,
1819500,47.39971160888671875,
1828500,46.9227142333984375,
1837500,43.56499481201171875,
1846500,45.02449798583984375,
1855500,45.359500885009765625,
1864500,44.438327789306640625,
1873500,45.748661041259765625,
1882500,46.545673370361328125,
1891500,43.86638641357421875,
1900500,42.47231292724609375,
1909500,40.8019866943359375,
1918500,42.11148834228515625,
1927500,41.72966766357421875,
1936500,42.66819000244140625,
1945500,42.52986907958984375,
1954500,41.9738006591796875,
1963500,41.4705047607421875,
1972500,39.8757171630859375,
1981500,42.70545196533203125,
1990500,42.25684356689453125,
1999500,44.439617156982421875,
2008500,43.31410980224609375,
2017500,40.615142822265625,
2026500,43.880313873291015625,
2035500,44.8919677734375,
2044500,43.9146575927734375,
2053500,43.8848876953125,
2062500,43.827266693115234375,
2071500,43.604976654052734375,
2080500,45.55455780029296875,
2089500,44.4645233154296875,
2098500,42.93077850341796875,
2107500,45.82387542724609375,
2116500,41.4810638427734375,
2125500,46.21445465087890625,
2134500,48.52392578125,
2143500,45.393901824951171875,
2152500,45.845897674560546875,
2161500,47.114330291748046875,
2170500,46.08127593994140625,
2179500,45.96269989013671875,
2188500,48.103946685791015625,
2197500,49.211536407470703125,
2206500,47.61684417724609375,
2215500,50.24578094482421875,
2224500,48.531055450439453125,
2233500,47.634082794189453125,
2242500,49.050128936767578125,
2251500,48.745494842529296875,
2260500,49.541126251220703125,
2269500,47.524250030517578125,
2278500,47.65100860595703125,
2287500,47.32253265380859375,
2296500,49.58751678466796875,
2305500,46.945972442626953125,
2314500,47.66805267333984375,
2323500,47.777721405029296875,
2332500,48.11472320556640625,
2341500,46.7738037109375,
2350500,48.339855194091796875,
2359500,46.042652130126953125,
2368500,47.672260284423828125,
2377500,47.634983062744140625,
2386500,47.69429779052734375,
2395500,47.309169769287109375,
2404500,46.66696929931640625,
2413500,44.7758331298828125,
2422500,45.689853668212890625,
2431500,46.842838287353515625,
2440500,43.9107666015625,
2449500,44.5005340576171875,
2458500,46.693836212158203125,
2467500,45.86928558349609375,
2476500,47.688121795654296875,
2485500,46.737277984619140625,
2494500,46.28781890869140625,
2503500,44.140415191650390625,
2512500,47.906009674072265625,
2521500,47.005695343017578125,
2530500,47.65872955322265625,
2539500,48.22882843017578125,
2548500,43.831607818603515625,
2557500,46.778839111328125,
2566500,47.83575439453125,
2575500,45.875164031982421875,
2584500,45.750118255615234375,
2593500,46.4313201904296875,
2602500,47.54399871826171875,
2611500,46.765594482421875,
2620500,46.122802734375,
2629500,45.926143646240234375,
2638500,46.9515380859375,
2647500,46.965114593505859375,
2656500,47.45272064208984375,
2665500,45.68294525146484375,
2674500,45.441497802734375,
2683500,44.57848358154296875,
2692500,43.964954376220703125,
2701500,44.018428802490234375,
2710500,43.405559539794921875,
2719500,43.5753936767578125,
2728500,43.569408416748046875,
2737500,40.48413848876953125,
2746500,42.074371337890625,
2755500,43.186634063720703125,
2764500,41.4242401123046875,
2773500,39.8082275390625,
2782500,40.511383056640625,
2791500,36.9190521240234375,
2800500,35.8898468017578125,
2809500,39.06866455078125,
