sep=,
Type,FSVA3013,
Version,1.40,
Date,26.Mar 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,1.000000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
1157500000,4.616729736328125,
1158500000,4.433746337890625,
1159500000,4.38468170166015625,
1160500000,4.65700531005859375,
1161500000,4.1649169921875,
1162500000,3.89588165283203125,
1163500000,3.99474334716796875,
1164500000,3.85344696044921875,
1165500000,3.92937469482421875,
1166500000,4.1338958740234375,
1167500000,4.15332794189453125,
1168500000,3.96334075927734375,
1169500000,3.9658355712890625,
1170500000,3.84435272216796875,
1171500000,3.6175689697265625,
1172500000,3.8467864990234375,
1173500000,4.22015380859375,
1174500000,4.22559356689453125,
1175500000,4.20278167724609375,
1176500000,4.1891326904296875,
1177500000,4.0771484375,
1178500000,3.80977630615234375,
1179500000,3.7061309814453125,
1180500000,3.73131561279296875,
1181500000,3.71633148193359375,
1182500000,3.80013275146484375,
1183500000,3.79778289794921875,
1184500000,3.63553619384765625,
1185500000,3.499114990234375,
1186500000,4.11658477783203125,
1187500000,4.41918182373046875,
1188500000,4.05423736572265625,
1189500000,4.29549407958984375,
1190500000,4.4718170166015625,
1191500000,4.49481201171875,
1192500000,4.45020294189453125,
1193500000,4.18456268310546875,
1194500000,3.98780059814453125,
1195500000,4.14685821533203125,
1196500000,4.028656005859375,
1197500000,3.7803955078125,
1198500000,3.80437469482421875,
1199500000,3.95452117919921875,
1200500000,3.36135101318359375,
1201500000,3.006134033203125,
1202500000,3.00508880615234375,
1203500000,2.69403839111328125,
1204500000,2.52237701416015625,
1205500000,2.496429443359375,
1206500000,2.5229644775390625,
1207500000,2.23426055908203125,
1208500000,2.31069183349609375,
1209500000,2.38646697998046875,
1210500000,2.32950592041015625,
1211500000,2.51210784912109375,
1212500000,2.6885223388671875,
1213500000,2.737457275390625,
1214500000,2.7748565673828125,
1215500000,2.95571136474609375,
1216500000,2.93242645263671875,
1217500000,2.8980255126953125,
1218500000,3.3865814208984375,
1219500000,2.4124908447265625,
1220500000,2.53217315673828125,
1221500000,2.28763580322265625,
1222500000,2.2498626708984375,
1223500000,2.28497314453125,
1224500000,1.9285125732421875,
1225500000,1.8549041748046875,
1226500000,1.9950714111328125,
1227500000,1.7743682861328125,
1228500000,1.7253875732421875,
1229500000,2.14142608642578125,
1230500000,2.030487060546875,
1231500000,2.10268402099609375,
1232500000,2.21823883056640625,
1233500000,2.46607208251953125,
1234500000,2.42596435546875,
1235500000,2.5471343994140625,
1236500000,2.44315338134765625,
1237500000,2.39681243896484375,
1238500000,2.55992889404296875,
1239500000,2.53873443603515625,
1240500000,2.871429443359375,
1241500000,2.872314453125,
1242500000,2.9691314697265625,
1243500000,2.941986083984375,
1244500000,3.15428924560546875,
1245500000,3.25887298583984375,
1246500000,2.80493927001953125,
1247500000,3.3627471923828125,
1248500000,3.53353118896484375,
1249500000,3.475372314453125,
1250500000,3.521270751953125,
1251500000,3.691558837890625,
1252500000,3.75649261474609375,
1253500000,3.5980987548828125,
1254500000,3.50235748291015625,
1255500000,3.87116241455078125,
1256500000,3.7762451171875,
1257500000,4.1878814697265625,
1258500000,4.49538421630859375,
1259500000,4.4987335205078125,
1260500000,4.7803497314453125,
1261500000,4.83431243896484375,
1262500000,4.449493408203125,
1263500000,4.8479766845703125,
1264500000,4.64791107177734375,
1265500000,4.53310394287109375,
1266500000,4.3014068603515625,
1267500000,3.6763153076171875,
1268500000,3.340789794921875,
1269500000,3.39885711669921875,
1270500000,3.41851806640625,
1271500000,3.7218170166015625,
1272500000,3.4004669189453125,
1273500000,3.29576873779296875,
1274500000,3.2116546630859375,
1275500000,3.3485107421875,
1276500000,3.27529144287109375,
1277500000,3.45471954345703125,
1278500000,3.4267425537109375,
1279500000,3.80499267578125,
1280500000,3.83130645751953125,
1281500000,3.96756744384765625,
1282500000,4.54486846923828125,
1283500000,4.466766357421875,
1284500000,4.6505889892578125,
1285500000,4.94715118408203125,
1286500000,5.4269561767578125,
1287500000,4.15923309326171875,
1288500000,3.51772308349609375,
1289500000,3.365325927734375,
1290500000,3.17314910888671875,
1291500000,3.28507232666015625,
1292500000,3.01946258544921875,
1293500000,2.851348876953125,
1294500000,2.97414398193359375,
1295500000,3.12545013427734375,
1296500000,3.1453857421875,
1297500000,3.2772369384765625,
1298500000,3.01642608642578125,
1299500000,2.62982177734375,
1300500000,2.717864990234375,
1301500000,2.63022613525390625,
1302500000,2.56214141845703125,
1303500000,2.50022125244140625,
1304500000,2.49102020263671875,
1305500000,2.680999755859375,
1306500000,2.29555511474609375,
1307500000,2.31908416748046875,
1308500000,2.21260833740234375,
1309500000,2.55328369140625,
1310500000,2.537384033203125,
1311500000,2.31847381591796875,
1312500000,1.67962646484375,
1313500000,2.24652862548828125,
1314500000,2.55991363525390625,
1315500000,2.66735076904296875,
1316500000,2.94478607177734375,
1317500000,3.0767669677734375,
1318500000,2.76611328125,
1319500000,3.0408477783203125,
1320500000,2.44181060791015625,
1321500000,2.705078125,
1322500000,2.8092803955078125,
1323500000,2.88564300537109375,
1324500000,2.80084991455078125,
1325500000,2.58599090576171875,
1326500000,2.4908905029296875,
1327500000,2.45160675048828125,
1328500000,2.29485321044921875,
1329500000,2.15244293212890625,
1330500000,1.9317779541015625,
1331500000,1.7675323486328125,
1332500000,2.13991546630859375,
1333500000,2.04076385498046875,
1334500000,1.587188720703125,
1335500000,1.45659637451171875,
1336500000,1.33931732177734375,
1337500000,1.043670654296875,
1338500000,1.19635009765625,
1339500000,0.9573822021484375,
1340500000,1.09580230712890625,
1341500000,0.9754638671875,
1342500000,1.05577850341796875,
1343500000,1.08434295654296875,
1344500000,1.12715911865234375,
1345500000,1.1813507080078125,
1346500000,1.18250274658203125,
1347500000,1.09002685546875,
1348500000,1.42778778076171875,
1349500000,1.11846160888671875,
1350500000,1.277740478515625,
1351500000,1.4354248046875,
1352500000,1.48711395263671875,
1353500000,1.8673553466796875,
1354500000,1.93698883056640625,
1355500000,1.61923980712890625,
1356500000,1.924652099609375,
1357500000,1.96991729736328125,
1358500000,1.753570556640625,
1359500000,1.5894775390625,
1360500000,1.22290802001953125,
