sep=,
Type,FSVA3013,
Version,1.40,
Date,31.Jan 2022,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
42900,-8.27909088134765625,
43100,-8.909088134765625,
43300,-8.6392364501953125,
43500,-9.56573486328125,
43700,-10.18804168701171875,
43900,-9.7581634521484375,
44100,-10.042938232421875,
44300,-10.34423828125,
44500,-11.66921234130859375,
44700,-10.26929473876953125,
44900,-9.9818878173828125,
45100,-11.36634063720703125,
45300,-9.3286590576171875,
45500,-9.2134857177734375,
45700,-8.891265869140625,
45900,-8.3647613525390625,
46100,-8.64774322509765625,
46300,-10.29970550537109375,
46500,-9.73193359375,
46700,-11.02796173095703125,
46900,-11.20574951171875,
47100,-9.37525177001953125,
47300,-9.79918670654296875,
47500,-9.381317138671875,
47700,-10.881622314453125,
47900,-8.5181884765625,
48100,-8.81331634521484375,
48300,-9.94547271728515625,
48500,-9.666259765625,
48700,-8.80588531494140625,
48900,-9.32082366943359375,
49100,-9.75783538818359375,
49300,-8.4440765380859375,
49500,-9.7362518310546875,
49700,-10.7035064697265625,
49900,-9.67076873779296875,
50100,-10.76490020751953125,
50300,-9.97916412353515625,
50500,-9.1105194091796875,
50700,-9.769012451171875,
50900,-9.38207244873046875,
51100,-9.7019195556640625,
51300,-8.0953369140625,
51500,-9.954559326171875,
51700,-8.2098846435546875,
51900,-10.77202606201171875,
52100,-11.09279632568359375,
52300,-9.91778564453125,
52500,-10.083648681640625,
52700,-11.09149932861328125,
52900,-8.236358642578125,
53100,-7.810302734375,
53300,-11.19684600830078125,
53500,-9.50438690185546875,
53700,-10.08444976806640625,
53900,-10.04851531982421875,
54100,-9.417510986328125,
54300,-10.34761810302734375,
54500,-10.10048675537109375,
54700,-9.14727020263671875,
54900,-8.65796661376953125,
55100,-10.3971099853515625,
55300,-9.75278472900390625,
55500,-8.37602996826171875,
55700,-9.52474212646484375,
55900,-7.30779266357421875,
56100,-8.29994964599609375,
56300,-7.124114990234375,
56500,-9.68672943115234375,
56700,-9.73497772216796875,
56900,-9.1160125732421875,
57100,-7.90473175048828125,
57300,-10.6775970458984375,
57500,-7.73740386962890625,
57700,-9.7209014892578125,
57900,-8.04520416259765625,
58100,-8.61766815185546875,
58300,-9.2488861083984375,
58500,-8.89202117919921875,
58700,-8.71773529052734375,
58900,-10.82126617431640625,
59100,-9.27565765380859375,
59300,-9.20127105712890625,
59500,-7.97472381591796875,
59700,-9.04027557373046875,
59900,-11.91321563720703125,
60100,-10.5246429443359375,
60300,-8.96002197265625,
60500,-9.20583343505859375,
60700,-10.03876495361328125,
60900,-12.25496673583984375,
61100,-10.0122528076171875,
61300,-11.94101715087890625,
61500,-8.9610595703125,
61700,-10.17130279541015625,
61900,-10.40587615966796875,
62100,-9.5289459228515625,
62300,-9.38979339599609375,
62500,-9.1565093994140625,
62700,-7.593475341796875,
62900,-8.57283782958984375,
63100,-10.90895843505859375,
63300,-9.652374267578125,
63500,-8.06095123291015625,
63700,-10.0844879150390625,
63900,-10.12172698974609375,
64100,-8.7011871337890625,
64300,-8.97885894775390625,
64500,-9.71582794189453125,
64700,-9.428680419921875,
64900,-10.80471038818359375,
65100,-10.58240509033203125,
65300,-9.6556243896484375,
65500,-8.8179473876953125,
65700,-9.1715240478515625,
65900,-8.8520965576171875,
66100,-9.3423614501953125,
66300,-8.70328521728515625,
66500,-9.79720306396484375,
66700,-8.1445770263671875,
66900,-11.06499481201171875,
67100,-9.6448822021484375,
67300,-7.65682220458984375,
67500,-9.1318817138671875,
67700,-10.50533294677734375,
67900,-10.04094696044921875,
68100,-10.53809356689453125,
68300,-8.23455047607421875,
68500,-6.25269317626953125,
68700,-8.7431640625,
68900,-8.23876953125,
69100,-9.25811004638671875,
69300,-8.84737396240234375,
69500,-9.08487701416015625,
69700,-9.8484344482421875,
69900,-10.5469970703125,
70100,-7.91519927978515625,
70300,-9.88671875,
70500,-8.29167938232421875,
70700,-8.04822540283203125,
70900,-7.5377197265625,
71100,-9.03205108642578125,
71300,-9.30938720703125,
71500,-9.53557586669921875,
71700,-8.6217193603515625,
71900,-8.8175201416015625,
72100,-6.93483734130859375,
72300,-5.15847015380859375,
72500,-1.8800811767578125,
72700,-0.15984344482421875,
72900,-0.984344482421875,
73100,-1.84288787841796875,
73300,-1.7955474853515625,
73500,-2.238922119140625,
73700,-2.72858428955078125,
73900,-1.03787994384765625,
74100,-1.91669464111328125,
74300,-2.193511962890625,
74500,-0.82906341552734375,
74700,-1.9393310546875,
74900,-1.828155517578125,
75100,0.294097900390625,
75300,-2.885955810546875,
75500,-1.91576385498046875,
75700,-1.2794036865234375,
75900,-2.313568115234375,
76100,-2.742156982421875,
76300,-1.59868621826171875,
76500,-1.03583526611328125,
76700,-0.676116943359375,
76900,-3.369171142578125,
77100,-8.10113525390625,
77300,-8.58551788330078125,
77500,-7.74921417236328125,
77700,-10.470123291015625,
77900,-9.86850738525390625,
78100,-8.3897552490234375,
78300,-6.831146240234375,
78500,-7.2855224609375,
78700,-6.91634368896484375,
78900,-9.28170013427734375,
79100,-7.436309814453125,
79300,-8.0232391357421875,
79500,-8.9265289306640625,
79700,-8.79299163818359375,
79900,-7.6291046142578125,
80100,-9.61128997802734375,
80300,-8.75249481201171875,
80500,-10.3721771240234375,
80700,-10.16907501220703125,
80900,-6.41286468505859375,
81100,-6.0126953125,
81300,-10.6708831787109375,
81500,-10.0423583984375,
81700,-10.33705902099609375,
81900,-9.11063385009765625,
82100,-6.8698577880859375,
82300,-10.531829833984375,
82500,-10.21311187744140625,
82700,-8.54470062255859375,
82900,-10.61797332763671875,
83100,-10.754364013671875,
83300,-8.64444732666015625,
83500,-8.51647186279296875,
83700,-9.7241668701171875,
83900,-11.090911865234375,
84100,-9.20203399658203125,
84300,-8.6023712158203125,
84500,-11.5660858154296875,
84700,-8.90276336669921875,
84900,-7.79082489013671875,
85100,-6.83208465576171875,
85300,-9.18145751953125,
85500,-8.91872406005859375,
85700,-10.10265350341796875,
85900,-9.43654632568359375,
86100,-10.028961181640625,
86300,-10.6862640380859375,
86500,-8.77025604248046875,
86700,-10.64525604248046875,
86900,-10.2929840087890625,
87100,-8.3921051025390625,
87300,-9.6594085693359375,
87500,-9.8078765869140625,
87700,-8.6051177978515625,
87900,-7.4469146728515625,
88100,-6.8506927490234375,
88300,-8.185272216796875,
88500,-8.0662841796875,
88700,-9.74768829345703125,
88900,-7.75008392333984375,
89100,-8.61725616455078125,
89300,-7.471466064453125,
89500,-8.40096282958984375,
89700,-8.7573699951171875,
89900,-7.13372039794921875,
90100,-7.8099365234375,
90300,-10.2133636474609375,
90500,-8.80059051513671875,
90700,-7.5399322509765625,
90900,-9.7307891845703125,
91100,-9.41463470458984375,
91300,-7.88570404052734375,
91500,-7.22051239013671875,
91700,-7.7811737060546875,
91900,-7.34832000732421875,
92100,-10.16130828857421875,
92300,-8.62392425537109375,
92500,-7.6112213134765625,
92700,-7.93393707275390625,
92900,-7.605316162109375,
93100,-7.13010406494140625,
93300,-7.59869384765625,
93500,-9.9239044189453125,
93700,-10.002838134765625,
93900,-8.05908203125,
94100,-7.58615875244140625,
94300,-8.06613922119140625,
94500,-10.83660125732421875,
94700,-9.449432373046875,
94900,-6.90152740478515625,
95100,-9.0489654541015625,
95300,-8.31925201416015625,
95500,-9.36658477783203125,
95700,-7.3774566650390625,
95900,-8.6028289794921875,
96100,-7.420074462890625,
96300,-9.496826171875,
96500,-8.74981689453125,
96700,-6.3654632568359375,
96900,-8.636199951171875,
97100,-5.77977752685546875,
97300,-6.93817138671875,
97500,-10.91449737548828125,
97700,-6.9520416259765625,
